employee_id,employee_name,job_title,hire_date,department_id,location
1,QDXRZDDU,Engineer,2010-12-28,10,Chicago
2,WXSYQLLV,Clerk,2020-03-16,10,New York
3,KFLAMTSH,Analyst,2013-07-08,38,Chicago
4,YOAAMJPZ,Analyst,2011-05-30,20,Houston
5,CSNWTHNN,Analyst,2011-03-25,37,New York
6,PGQRRROP,Clerk,2015-01-30,13,Houston
7,PXNALXOI,Manager,2023-08-10,36,Chicago
8,JZHESPHU,Engineer,2019-10-03,6,Chicago
9,GQPORHTA,Clerk,2016-11-25,29,Chicago
10,MDBUGQHG,Manager,2018-06-09,16,Chicago
11,TPXTRJEU,Manager,2013-11-29,21,San Francisco
12,GENAZZPV,Clerk,2020-11-11,37,Chicago
13,VTKJRSEP,Analyst,2012-07-11,35,Houston
14,VBGVBMMM,Analyst,2018-08-04,49,New York
15,YXGRKGNL,Manager,2015-11-30,43,Chicago
16,HUJINYCN,Analyst,2016-12-22,17,Houston
17,JVPQHHUG,Analyst,2018-02-27,36,Chicago
18,PLRGRUNR,Engineer,2016-03-31,34,San Francisco
19,ZIAABKNR,Manager,2017-04-03,19,San Francisco
20,JSGAQBPX,Analyst,2010-11-10,45,Chicago
21,,Manager,2017-02-26,2,Houston
22,,Clerk,2018-06-11,9,Chicago
23,,Analyst,2016-03-06,50,San Francisco
24,,Engineer,2012-11-03,50,Houston
25,,Engineer,2019-07-22,5,New York
26,,Manager,2017-03-19,45,Chicago
27,,Clerk,2020-11-27,46,Chicago
28,,Manager,2014-11-14,48,San Francisco
29,,Clerk,2023-12-29,21,Chicago
30,,Analyst,2020-08-31,24,Chicago
31,,Analyst,2013-01-29,50,New York
32,CRMXLEAA,Clerk,2011-11-29,29,New York
33,ZGKUQMZV,Engineer,2015-12-20,48,Houston
34,ZAIISKFR,Analyst,2013-11-05,14,Chicago
35,NYWNTGBT,Engineer,2012-11-09,12,Houston
36,MAXQGQAQ,Analyst,2015-04-14,21,San Francisco
37,XVCPVBVC,Engineer,2012-10-10,30,Houston
38,PQBFIVTK,Manager,2010-08-15,15,San Francisco
39,DROIZFBE,Clerk,2015-01-03,30,Chicago
40,BHTEJEGP,Clerk,2023-06-19,24,Houston
41,DUQJEWCA,Analyst,2015-07-17,22,Chicago
42,YSPHSUMD,Analyst,2023-08-07,13,Chicago
43,DHLGERPS,Engineer,2016-09-18,44,Houston
